agency,article_id,section,published_at,headline,url,sentiment_score,Aspect,effect_type,impact_type
thairath,880330,investment,2017-03-10,"หุ้นไทยปิดตลาดเช้าลบ 7.23 จุด ดัชนีอยู่ที่ 1,542.01 จุด",https://www.thairath.co.th/money/investment/capital_market/880330,0.3,เศรษฐกิจไทย,Short-term,Negative
thairath,880410,economics,2017-03-10,ดัชนีเชื่อมั่นผู้บริโภค ก.พ. พุ่งสูงรอบ 14 เดือน จากส่งออก-ท่องเที่ยว,https://www.thairath.co.th/money/economics/thai_economics/880410,0.75,เศรษฐกิจไทย,Short-term,Positive
thairath,880581,economics,2017-03-10,แสนสิริลั่นลุยโซเชียล-เอพีเชิญศาสตราจารย์ดังวางแผนธุรกิจ,https://www.thairath.co.th/money/economics/thai_economics/880581,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,880671,investment,2017-03-10,"ดัชนีเชื่อมั่นทอง มี.ค. พุ่ง! ผู้ค้ามองราคาขยับ คาดบาทละ 21,001-21,500",https://www.thairath.co.th/money/investment/gold/880671,0.65,เศรษฐกิจโลก,Short-term,Positive
thairath,880720,investment,2017-03-10,"หุ้นไทยปิดท้ายสัปดาห์ร่วง 9.33 จุด ซื้อขาย 39,569.57 ล้านบาท",https://www.thairath.co.th/money/investment/capital_market/880720,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,882781,economics,2017-03-13,"ทองคำเปิดตลาดลดลง 50 บาท รูปพรรณขายบาทละ 20,650",https://www.thairath.co.th/money/economics/thai_economics/882781,0.45,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,883401,investment,2017-03-13,"หุ้นไทยปิดร่วง 4.40 จุด มูลค่าซื้อขาย 35,930.85 ล้าน",https://www.thairath.co.th/money/investment/capital_market/883401,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,884160,investment,2017-03-14,"หุ้นไทยปิดตลาดเช้าบวก 1.05 จุด ดัชนีอยู่ที่ 1,536.56 จุด",https://www.thairath.co.th/money/investment/capital_market/884160,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,886805,economics,2017-03-16,เบทาโกรยกทัพแบรนด์พรีเมียม ลุยตลาดส่งออกไก่ให้ทั่วโลกทึ่ง,https://www.thairath.co.th/money/economics/thai_economics/886805,0.75,เศรษฐกิจไทย,Long-term,Positive
thairath,886827,economics,2017-03-16,ชี้ปีนี้ยอดขายรถใหม่จะกลับมาเติบโตได้,https://www.thairath.co.th/money/economics/thai_economics/886827,0.85,เศรษฐกิจไทย,Short-term,Positive
thairath,880330,investment,2017-03-10,"หุ้นไทยปิดตลาดเช้าลบ 7.23 จุด ดัชนีอยู่ที่ 1,542.01 จุด",https://www.thairath.co.th/money/investment/capital_market/880330,0.35,เศรษฐกิจไทย,Short-term,Negative
thairath,880410,economics,2017-03-10,ดัชนีเชื่อมั่นผู้บริโภค ก.พ. พุ่งสูงรอบ 14 เดือน จากส่งออก-ท่องเที่ยว,https://www.thairath.co.th/money/economics/thai_economics/880410,0.75,เศรษฐกิจไทย,Short-term,Positive
thairath,880581,economics,2017-03-10,แสนสิริลั่นลุยโซเชียล-เอพีเชิญศาสตราจารย์ดังวางแผนธุรกิจ,https://www.thairath.co.th/money/economics/thai_economics/880581,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,880671,investment,2017-03-10,"ดัชนีเชื่อมั่นทอง มี.ค. พุ่ง! ผู้ค้ามองราคาขยับ คาดบาทละ 21,001-21,500",https://www.thairath.co.th/money/investment/gold/880671,0.75,เศรษฐกิจโลก,Short-term,Positive
thairath,880720,investment,2017-03-10,"หุ้นไทยปิดท้ายสัปดาห์ร่วง 9.33 จุด ซื้อขาย 39,569.57 ล้านบาท",https://www.thairath.co.th/money/investment/capital_market/880720,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,882781,economics,2017-03-13,"ทองคำเปิดตลาดลดลง 50 บาท รูปพรรณขายบาทละ 20,650",https://www.thairath.co.th/money/economics/thai_economics/882781,0.45,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,883401,investment,2017-03-13,"หุ้นไทยปิดร่วง 4.40 จุด มูลค่าซื้อขาย 35,930.85 ล้าน",https://www.thairath.co.th/money/investment/capital_market/883401,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,884160,investment,2017-03-14,"หุ้นไทยปิดตลาดเช้าบวก 1.05 จุด ดัชนีอยู่ที่ 1,536.56 จุด",https://www.thairath.co.th/money/investment/capital_market/884160,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,886805,economics,2017-03-16,เบทาโกรยกทัพแบรนด์พรีเมียม ลุยตลาดส่งออกไก่ให้ทั่วโลกทึ่ง,https://www.thairath.co.th/money/economics/thai_economics/886805,0.75,เศรษฐกิจไทย,Short-term,Positive
thairath,886827,economics,2017-03-16,ชี้ปีนี้ยอดขายรถใหม่จะกลับมาเติบโตได้,https://www.thairath.co.th/money/economics/thai_economics/886827,0.75,เศรษฐกิจไทย,Short-term,Positive
thairath,890607,economics,2017-03-20,เนสท์เล่งัดแคมเปญวอร์มอัพรับวันใหม่ กระตุ้นคนไทยกินอาหารเช้า,https://www.thairath.co.th/money/economics/thai_economics/890607,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,891205,investment,2017-03-21,"ทองคำเปิดตลาดลง 50 บาท รูปพรรณขายบาทละ 20,750",https://www.thairath.co.th/money/investment/gold/891205,0.5,เศรษฐกิจไทย,Short-term,Neutral
thairath,891441,investment,2017-03-21,"หุ้นไทยปิดตลาดเช้าบวก 6.05 จุด ดัชนีอยู่ที่ 1,569.59 จุด",https://www.thairath.co.th/money/investment/capital_market/891441,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,891580,economics,2017-03-21,ราชกิจจาฯ ก.ม.ภาษีสรรพสามิตใหม่ บุหรี่ 5 บาทต่อมวน-อาบอบนวด 1พันต่อรอบ,https://www.thairath.co.th/money/economics/thai_economics/891580,0.55,มาตรการของรัฐ,Long-term,Neutral
thairath,891876,economics,2017-03-21,3 เอ็มเปิดตัวฟิล์มรถยนต์ ชูจุดขายกันยูวี-แสงผ่านได้น้อย,https://www.thairath.co.th/money/economics/thai_economics/891876,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,892046,economics,2017-03-21,'พาณิชย์' ดึง 24 บิ๊กเอกชน ปั้นโอทอปไทย ขยายช่องทางตลาดเข้าห้างค้าปลีก,https://www.thairath.co.th/money/economics/thai_economics/892046,0.85,เศรษฐกิจไทย,Long-term,Positive
thairath,892332,investment,2017-03-22,"ทองคำเปิดตลาดขึ้นพรวด 250 บาท รูปพรรณขายบาทละ 21,000",https://www.thairath.co.th/money/investment/gold/892332,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,892546,investment,2017-03-22,"หุ้นไทยปิดตลาดเช้าลบ 2.64 จุด ดัชนีอยู่ที่ 1,566.14 จุด",https://www.thairath.co.th/money/investment/capital_market/892546,0.3,เศรษฐกิจไทย,Short-term,Negative
thairath,892952,personal_finance,2017-03-22,"หุ้นไทยปิดซื้อขายแดนลบ ร่วง 2.12 จุด ที่ระดับ 1,566.66 จุด",https://www.thairath.co.th/money/personal_finance/financial_planning/892952,0.25,เศรษฐกิจไทย,Short-term,Negative
thairath,893345,economics,2017-03-23,ตลาด 1.2 หมื่นล้านยังมีช่องว่าง เนสกาแฟเปิดตัวกาแฟดำลุย,https://www.thairath.co.th/money/economics/thai_economics/893345,0.75,เศรษฐกิจไทย,Short-term,Positive
thairath,893352,investment,2017-03-23,"ทองคำเปิดตลาดลดลง 50 บาท รูปพรรณขายบาทละ 20,950",https://www.thairath.co.th/money/investment/gold/893352,0.55,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,893370,economics,2017-03-23,ธุรกิจไอทียังไปได้ ปี 59 เมโทรซิสเต็มส์ฯ มีกำไร 188 ล้าน,https://www.thairath.co.th/money/economics/thai_economics/893370,0.85,เศรษฐกิจไทย,Long-term,Positive
thairath,893570,investment,2017-03-23,"หุ้นไทยปิดตลาดเช้าบวก 2.26 จุด ดัชนีอยู่ที่ 1,568.92 จุด",https://www.thairath.co.th/money/investment/capital_market/893570,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,893576,economics,2017-03-23,ดัชนีราคาสินค้าเกษตร ก.พ. เพิ่มขึ้น 'ยาง-ปาล์ม-กุ้งขาว' ขยับสูง,https://www.thairath.co.th/money/economics/thai_economics/893576,0.65,ราคาสินค้าเกษตร,Short-term,Positive
thairath,893940,economics,2017-03-23,ไทยเฮ! ได้โอกาสขยายตลาด เกาหลีใต้เว้นภาษีนำเข้าไก่ เริ่มต้น เม.ย.,https://www.thairath.co.th/money/economics/thai_economics/893940,0.85,ราคาสินค้าเกษตร,Short-term,Positive
thairath,894282,economics,2017-03-23,กรุงไทย ขนบริการด้านการเงิน-กองทุน ร่วมงาน SET in the City,https://www.thairath.co.th/money/economics/thai_economics/894282,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,894380,investment,2017-03-24,"ทองคำเปิดตลาดคงที่ รูปพรรณขายบาทละ 20,950",https://www.thairath.co.th/money/investment/gold/894380,0.55,ราคาสินค้าเกษตร,Short-term,Neutral
thairath,894587,investment,2017-03-24,"หุ้นไทยปิดตลาดเช้าบวก ปรับเพิ่มขึ้น 2.31 จุด ที่ 1,571.03 จุด",https://www.thairath.co.th/money/investment/capital_market/894587,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,894826,economics,2017-03-24,บอร์ดบีโอไอ เห็นชอบส่งเสริมลงทุนผลิต-ชิ้นส่วนรถยนต์ไฟฟ้า-สถานีชาร์จไฟ,https://www.thairath.co.th/money/economics/thai_economics/894826,0.75,เศรษฐกิจไทย,Long-term,Positive
thairath,895066,economics,2017-03-24,ย้ำ 5 เม.ย.คนขับ-ผู้โดยสาร ต้องคาดเข็มขัดนิรภัย ฝ่าฝืนจับปรับแน่,https://www.thairath.co.th/money/economics/thai_economics/895066,0.5,สังคม/ความมั่นคง,Short-term,Neutral
thairath,895350,economics,2017-03-25,ยูดีทาวน์ผนึกพันธมิตร จัดสงกรานต์ EDM กระตุ้นท่องเที่ยว,https://www.thairath.co.th/money/economics/thai_economics/895350,0.65,เศรษฐกิจไทย,Short-term,Positive
thairath,895361,economics,2017-03-25,"ทองคำราคาคงที่ รูปพรรณขายบาทละ 20,900",https://www.thairath.co.th/money/economics/thai_economics/895361,0.5,เศรษฐกิจไทย,Short-term,Neutral
